VALUE,COUNT
1660,2270976
1661,2016738
1662,1974582
1663,1893870
1664,1913313
1665,2120414
1666,2002912
1667,1874274
1668,1886397
1669,1894140
1670,1962363
1671,2240875
1672,2180454
1673,1986921
1674,1916300
1675,1870563
1676,1865161
1677,2047306
1678,2011606
1679,1875883
1680,1943740
1681,1887247
1682,1930763
1683,2172392
1684,2241475
1685,2002341
1686,1914219
1687,1893194
1688,1851618
1689,1987689
1690,2066596
1691,1885658
1692,1859749
1693,1924003
1694,1930141
1695,2092255
1696,2290119
1697,2026217
1698,1920633
1699,1904612
1700,1911197
1701,1952652
1702,2123062
1703,2026227
1704,1954383
1705,2110197
1706,2043448
1707,2156889
1708,2437760
1709,2123980
1710,1982661
1711,1962277
1712,1874595
1713,1967433
1714,2229151
1715,1962555
1716,1883368
1717,1913194
1718,1908575
1719,2032121
1720,2345562
1721,2106335
1722,1937505
1723,1891800
1724,1830160
1725,1860816
1726,2051341
1727,1923121
1728,1806409
1729,1822226
1730,1830652
1731,1919661
1732,2186212
1733,2108019
1734,1916217
1735,1887134
1736,1814576
1737,1810606
1738,1972991
1739,1951654
1740,1833720
1741,1793523
1742,1824063
1743,1863686
1744,2093553
1745,2135160
1746,1920175
1747,1827968
1748,1785748
1749,1762971
1750,1883678
1751,1943796
1752,1790459
1753,1751772
1754,1796357
1755,1824959
1756,1996823
1757,2166195
1758,1949554
1759,1910409
1760,1956377
1761,1804535
1762,1867451
1763,1995007
1764,1809650
1765,1746020
1766,1768041
1767,1785948
1768,1922393
1769,2140290
1770,1936989
1771,1814479
1772,1776849
1773,1723830
1774,1785726
1775,1934397
1776,1808159
1777,1726435
1778,1758567
1779,1778170
1780,1906294
1781,2143061
1782,2084853
1783,1912648
1784,1853991
1785,1751354
1786,1810435
1787,1945556
1788,1828169
1789,1750436
1790,1748379
1791,1766085
1792,1835507
1793,2058058
1794,1986262
1795,1810423
1796,1738335
1797,1691063
1798,1697245
1799,1829665
1800,1811154
1801,1723972
1802,1678983
1803,1687769
1804,2091115
1805,2022300
1806,2096386
1807,1952124
1808,1802344
1809,1734071
1810,1710933
1811,1806582
1812,1830528
1813,1713174
1814,1660518
1815,1710875
1816,1882010
1817,1930531
1818,2057197
1819,1942434
1820,1779422
1821,1734763
1822,1694339
1823,1763060
1824,1872425
1825,1726311
1826,1691973
1827,1689139
1828,1713350
1829,1849327
1830,2041916
1831,1865100
1832,1733672
1833,1693074
1834,1649390
1835,1707992
1836,1856938
1837,1721516
1838,1642592
1839,1663741
1840,1687410
